title,isbn,author,genres,amount
История твоей жизни (сборник),9785171048013,Тед Чан,научная фантастика,10
Выдох (сборник),9785171330361,Тед Чан,научная фантастика,6
Сами боги,9785041727161,Айзек Азимов,научная фантастика,1
Дюна,9785171514327,Фрэнк Герберт,научная фантастика; социальная фантастика,0
Дюна,9785171342722,Френк Герберт,научная фантастика; социальная фантастика,15
Мессия Дюны,9785171037451,Френк Герберт,научная фантастика; социальная фантастика,10
Выдох (сборник),9785171330361,Тед Чан,научная фантастика,5
Обитаемый остров,9785171092825,Аркадий Стругацкий; Борис Стругацкий,научнвя фантастика; приключенческий роман; социальная фантастика,4
Жук в муравейнике,9785171115432,Аркадий Стругацкий; Борис Стругацкий,научная фантастика; детектив,1
Волны гасят ветер,9785170943210,Аркадий Стругацкий; Борис Стругацкий,научная фантастика,5
